Datetime,Water_Temp
2020-12-10 17:10,3.05
2020-12-21 15:30,4.0
2020-12-21 16:00,2.69
2020-12-21 16:30,-0.25
2020-12-21 17:00,-2.39
2020-12-21 17:30,-3.44
2020-12-21 18:00,-3.32
2020-12-21 18:30,-4.76
2020-12-21 19:00,-6.62
2020-12-21 19:30,-7.31
2020-12-21 20:00,-7.91
2020-12-21 20:30,-8.44
2020-12-21 21:00,-9.06
2020-12-21 21:30,-9.69
2020-12-21 22:00,-10.41
2020-12-21 22:30,-10.62
2020-12-21 23:00,-11.26
2020-12-21 23:30,-11.62
2020-12-22 00:00,-11.88
2020-12-22 00:30,-12.46
2020-12-22 01:00,-12.94
2020-12-22 01:30,-13.12
2020-12-22 02:00,-13.4
2020-12-22 02:30,-13.84
2020-12-22 03:00,-14.07
2020-12-22 03:30,-14.09
2020-12-22 04:00,-14.59
2020-12-22 04:30,-14.65
2020-12-22 05:00,-15.19
2020-12-22 05:30,-15.55
2020-12-22 06:00,-15.38
2020-12-22 06:30,-15.81
2020-12-22 07:00,-16.0
2020-12-22 07:30,-16.06
2020-12-22 08:00,-15.38
2020-12-22 08:30,-9.81
2020-12-22 09:00,-1.75
2020-12-22 09:30,1.88
2020-12-22 10:00,6.92
2020-12-22 10:30,11.3
2020-12-22 11:00,15.2
2020-12-22 11:30,18.5
2020-12-22 12:00,19.27
2020-12-22 12:30,22.04
2020-12-22 13:00,23.65
2020-12-22 13:30,25.56
2020-12-22 14:00,24.47
2020-12-22 14:30,18.62
2020-12-22 15:00,8.67
2020-12-22 15:30,4.25
2020-12-22 16:00,2.06
2020-12-22 16:30,0.02
2020-12-22 17:00,-1.51
2020-12-22 17:30,-2.69
2020-12-22 18:00,-4.4
2020-12-22 18:30,-5.02
2020-12-22 19:00,-6.01
2020-12-22 19:30,-7.31
2020-12-22 20:00,-8.25
2020-12-22 20:30,-8.94
2020-12-22 21:00,-9.9
2020-12-22 21:30,-10.81
2020-12-22 22:00,-11.41
2020-12-22 22:30,-11.88
2020-12-22 23:00,-12.17
2020-12-22 23:30,-12.84
2020-12-23 00:00,-13.34
2020-12-23 00:30,-12.69
2020-12-23 01:00,-13.14
2020-12-23 01:30,-13.46
2020-12-23 02:00,-14.44
2020-12-23 02:30,-14.81
2020-12-23 03:00,-14.64
2020-12-23 03:30,-15.12
2020-12-23 04:00,-15.36
2020-12-23 04:30,-16.01
2020-12-23 05:00,-15.99
2020-12-23 05:30,-16.2
2020-12-23 06:00,-16.12
2020-12-23 06:30,-16.14
2020-12-23 07:00,-15.97
2020-12-23 07:30,-16.19
2020-12-23 08:00,-14.44
2020-12-23 08:30,-11.62
2020-12-23 09:00,-7.75
2020-12-23 09:30,-6.27
2020-12-23 10:00,-0.51
2020-12-23 10:30,2.79
2020-12-23 11:00,6.15
2020-12-23 11:30,10.99
2020-12-23 12:00,14.88
2020-12-23 12:30,18.44
2020-12-23 13:00,19.86
2020-12-23 13:30,19.75
2020-12-23 14:00,21.32
2020-12-23 14:30,18.12
2020-12-23 15:00,6.42
2020-12-23 15:30,2.69
2020-12-23 16:00,0.9
2020-12-23 16:30,-1.06
2020-12-23 17:00,-2.75
2020-12-23 17:30,-4.25
2020-12-23 18:00,-5.0
2020-12-23 18:30,-6.57
2020-12-23 19:00,-7.06
2020-12-23 19:30,-7.85
2020-12-23 20:00,-8.5
2020-12-23 20:30,-9.34
2020-12-23 21:00,-9.94
2020-12-23 21:30,-10.94
2020-12-23 22:00,-11.81
2020-12-23 22:30,-12.19
2020-12-23 23:00,-12.66
2020-12-23 23:30,-12.8
2020-12-24 00:00,-12.84
2020-12-24 00:30,-12.81
2020-12-24 01:00,-13.25
2020-12-24 01:30,-13.88
2020-12-24 02:00,-14.64
2020-12-24 02:30,-14.59
2020-12-24 03:00,-14.81
2020-12-24 03:30,-15.19
2020-12-24 04:00,-15.31
2020-12-24 04:30,-15.4
2020-12-24 05:00,-15.56
2020-12-24 05:30,-15.49
2020-12-24 06:00,-16.0
2020-12-24 06:30,-15.46
2020-12-24 07:00,-15.75
2020-12-24 07:30,-16.06
2020-12-24 08:00,-15.0
2020-12-24 08:30,-10.61
2020-12-24 09:00,-4.21
2020-12-24 09:30,-0.45
2020-12-24 10:00,4.07
