Datetime,Wind_Direction,Wind_SpeedAvg,Wind_SpeedMax,Temp,Humidity,Pressure
2020-12-25 14:00,45.0,1.788,3.129,8.33,10.0,622.5
2020-12-25 14:15,45.0,1.788,3.129,5.56,13.0,622.4
2020-12-25 14:30,135.0,0.0,3.129,17.78,10.0,621.4
2020-12-25 14:45,90.0,1.788,3.129,26.67,9.0,621.1
2020-12-25 15:00,135.0,1.788,4.023,27.22,9.0,621.0
2020-12-25 15:15,45.0,1.341,3.576,25.56,9.0,621.1
2020-12-25 15:30,90.0,0.894,3.129,19.44,10.0,621.2
2020-12-25 15:45,90.0,0.447,2.235,18.33,10.0,621.1
2020-12-25 16:00,90.0,1.788,3.576,18.33,10.0,621.1
2020-12-25 16:15,45.0,0.447,3.576,14.44,11.0,621.1
2020-12-25 16:30,45.0,0.0,1.788,12.78,11.0,621.1
2020-12-25 16:45,90.0,0.447,1.341,12.78,11.0,621.1
