Datetime,Wind_Direction,Wind_SpeedAvg,Wind_SpeedMax,Temp,Humidity,Pressure
2021-01-19 23:15,315.0,1.341,1.341,-2.22,24.0,632.0
2021-01-19 23:30,0.0,0.0,1.788,4.44,21.0,631.8
2021-01-19 23:45,315.0,0.894,1.788,6.67,19.0,631.7
2021-01-20 00:00,0.0,0.0,1.341,7.22,18.0,631.7
2021-01-20 00:15,315.0,0.447,1.341,6.67,18.0,631.7
2021-01-20 00:30,315.0,0.447,1.341,6.11,19.0,631.6
2021-01-20 00:45,315.0,0.447,1.341,5.56,19.0,631.5
2021-01-20 01:00,315.0,0.447,1.341,5.0,20.0,631.5
2021-01-20 01:15,90.0,0.0,0.447,3.89,20.0,631.8
2021-01-20 01:30,135.0,0.0,0.894,3.89,21.0,631.7
